Model,Run,Seed,Fold,F1_Score
Random Baseline,1,1,1,0.30208241978959277
Random Baseline,2,1,2,0.31707823692641574
Random Baseline,3,1,3,0.32360915320143563
Random Baseline,4,1,4,0.3119430013160586
Random Baseline,5,1,5,0.3148137320088758
Random Baseline,6,2,1,0.31158883843875335
Random Baseline,7,2,2,0.31084242942912005
Random Baseline,8,2,3,0.3099771571837841
Random Baseline,9,2,4,0.3128043537109981
Random Baseline,10,2,5,0.31661622789621546
Random Baseline,11,3,1,0.326817873488154
Random Baseline,12,3,2,0.3215461135995429
Random Baseline,13,3,3,0.31292981361492694
Random Baseline,14,3,4,0.31724007927601927
Random Baseline,15,3,5,0.31136860056824256
Single View Best,1,1,1,0.7459395500968958
Single View Best,2,1,2,0.7484318723078062
Single View Best,3,1,3,0.7453026978365384
Single View Best,4,1,4,0.7578420136606588
Single View Best,5,1,5,0.7335503015517825
Single View Best,6,2,1,0.751920383082199
Single View Best,7,2,2,0.7551165193845278
Single View Best,8,2,3,0.7476473818972322
Single View Best,9,2,4,0.7400660366301768
Single View Best,10,2,5,0.7592302335575232
Single View Best,11,3,1,0.7593442736169167
Single View Best,12,3,2,0.7508107391487256
Single View Best,13,3,3,0.7575155787159669
Single View Best,14,3,4,0.7625015272833647
Single View Best,15,3,5,0.7523670658299396
MultiView Original,1,1,1,0.7586220179057346
MultiView Original,2,1,2,0.7693849252639308
MultiView Original,3,1,3,0.7436279964273584
MultiView Original,4,1,4,0.7598677680353081
MultiView Original,5,1,5,0.7123415613715839
MultiView Original,6,2,1,0.7498316403158256
MultiView Original,7,2,2,0.7485227137504716
MultiView Original,8,2,3,0.7447784422439264
MultiView Original,9,2,4,0.7222151750140364
MultiView Original,10,2,5,0.7843234574833781
MultiView Original,11,3,1,0.7436502764567027
MultiView Original,12,3,2,0.7578891011163998
MultiView Original,13,3,3,0.7674232329232135
MultiView Original,14,3,4,0.74038803332838
MultiView Original,15,3,5,0.7304574222866956
MultiView+FuzzyR,1,1,1,0.7536055306673045
MultiView+FuzzyR,2,1,2,0.7367945063513014
MultiView+FuzzyR,3,1,3,0.7623624599791983
MultiView+FuzzyR,4,1,4,0.7468684990776411
MultiView+FuzzyR,5,1,5,0.7552049157635826
MultiView+FuzzyR,6,2,1,0.7404740452817277
MultiView+FuzzyR,7,2,2,0.7648545406858078
MultiView+FuzzyR,8,2,3,0.7426474871829881
MultiView+FuzzyR,9,2,4,0.7441581776679583
MultiView+FuzzyR,10,2,5,0.733335809369987
MultiView+FuzzyR,11,3,1,0.7629901590546164
MultiView+FuzzyR,12,3,2,0.7726423183957977
MultiView+FuzzyR,13,3,3,0.7627416315249814
MultiView+FuzzyR,14,3,4,0.7696761151425235
MultiView+FuzzyR,15,3,5,0.7403730850399616
